"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"10236",1.94609065510623e-163,-1.4344238277867,0.203,0.527,3.58898038614692e-159,"ResA_1'","ENSG00000090054"
"10237",2.94081101438047e-107,-1.43631996940012,0.313,0.573,5.42344367272045e-103,"ResA_1'","ENSG00000134905"
"10238",6.61275400466118e-74,-1.43632193467398,0.298,0.513,1.21952409353962e-69,"ResA_1'","ENSG00000104524"
"10239",1.30917869851726e-118,-1.43632745719686,0.298,0.574,2.41438735580554e-114,"ResA_1'","ENSG00000100897"
"10240",5.88261709827882e-112,-1.43764315202602,0.228,0.487,1.08487224526458e-107,"ResA_1'","ENSG00000126249"
"10241",3.7623296374043e-50,-1.43804653175406,0.456,0.591,6.93848831730101e-46,"ResA_1'","ENSG00000123415"
"10242",3.14016317588117e-143,-1.43898952672253,0.06,0.314,5.79108892896006e-139,"ResA_1'","ENSG00000148120"
"10243",9.41063138458115e-190,-1.44078031624913,0.046,0.338,1.73550863994446e-185,"ResA_1'","ENSG00000113916"
"10244",2.43804848919333e-42,-1.44080926430604,0.318,0.478,4.49624902377033e-38,"ResA_1'","ENSG00000188130"
"10245",8.66312593769734e-112,-1.44131656288449,0.289,0.557,1.59765368543014e-107,"ResA_1'","ENSG00000102978"
"10246",2.44679955606642e-141,-1.44206377795326,0.186,0.484,4.51238774129769e-137,"ResA_1'","ENSG00000120549"
"10247",3.39714253086794e-146,-1.44287418665301,0.221,0.528,6.26501025542665e-142,"ResA_1'","ENSG00000146833"
"10248",6.61582084398515e-98,-1.44362882612486,0.191,0.444,1.22008968004774e-93,"ResA_1'","ENSG00000133961"
"10249",1.46840898452205e-141,-1.44423732449683,0.111,0.391,2.70803984925556e-137,"ResA_1'","ENSG00000100242"
"10250",3.7192872949806e-120,-1.44522774704849,0.153,0.422,6.85910962940322e-116,"ResA_1'","ENSG00000141664"
"10251",4.79373653100044e-43,-1.44662413918199,0.342,0.485,8.84060891047101e-39,"ResA_1'","ENSG00000109534"
"10252",5.10367031002383e-111,-1.44687885351742,0.287,0.559,9.41218878574594e-107,"ResA_1'","ENSG00000151093"
"10253",8.58399058837638e-110,-1.44700583247736,0.324,0.594,1.58305954430837e-105,"ResA_1'","ENSG00000162517"
"10254",2.17240754503037e-57,-1.44749065775968,0.149,0.315,4.006353994545e-53,"ResA_1'","ENSG00000006576"
"10255",2.18286534239571e-95,-1.44780468064286,0.317,0.57,4.02564026444616e-91,"ResA_1'","ENSG00000101901"
"10256",9.17618300797902e-133,-1.44805560203401,0.158,0.436,1.69227167033149e-128,"ResA_1'","ENSG00000164695"
"10257",4.09797075724689e-83,-1.4484842898586,0.426,0.651,7.55747767051472e-79,"ResA_1'","ENSG00000181929"
"10258",4.172602825931e-64,-1.44853113035719,0.1,0.256,7.69511413158196e-60,"ResA_1'","ENSG00000103995"
"10259",6.18681539243745e-45,-1.44861671341938,0.546,0.673,1.14097249467331e-40,"ResA_1'","ENSG00000090932"
"10260",9.81173244580361e-76,-1.44878940362964,0.414,0.626,1.8094796976551e-71,"ResA_1'","ENSG00000173156"
"10261",1.8844465645422e-110,-1.45021661931779,0.318,0.582,3.47529635432872e-106,"ResA_1'","ENSG00000129187"
"10262",1.01051753122635e-101,-1.45038028536605,0.211,0.459,1.86359643108763e-97,"ResA_1'","ENSG00000173276"
"10263",2.4932355818432e-50,-1.4506886340199,0.256,0.441,4.59802506003522e-46,"ResA_1'","ENSG00000272273"
"10264",8.8839897477209e-75,-1.45104613653439,0.299,0.504,1.63838538927469e-70,"ResA_1'","ENSG00000048405"
"10265",6.23519021112846e-47,-1.45120401746863,0.433,0.584,1.14989377873631e-42,"ResA_1'","ENSG00000100813"
"10266",1.1684607528746e-133,-1.45189210226798,0.235,0.525,2.15487532045133e-129,"ResA_1'","ENSG00000261455"
"10267",8.01212961286961e-104,-1.45276115498359,0.283,0.541,1.47759694320541e-99,"ResA_1'","ENSG00000127952"
"10268",4.64606904992024e-60,-1.45310262391346,0.395,0.578,8.5682805418629e-56,"ResA_1'","ENSG00000114744"
"10269",1.02060983878834e-66,-1.45328647123273,0.269,0.474,1.88220866469345e-62,"ResA_1'","ENSG00000248333"
"10270",6.88249558740057e-26,-1.45370205914492,0.555,0.664,1.26926983622841e-21,"ResA_1'","ENSG00000108312"
"10271",4.2684525045659e-81,-1.45410692322487,0.185,0.398,7.87188010892044e-77,"ResA_1'","ENSG00000033030"
"10272",1.41770449523746e-34,-1.45500489525291,0.59,0.676,2.61453063011692e-30,"ResA_1'","ENSG00000171604"
"10273",3.37517556029148e-141,-1.45574774527635,0.233,0.533,6.22449876828955e-137,"ResA_1'","ENSG00000170846"
